Comment ID #,Type of Body Shaming,Analyzed Comment,Expected Score,Expected Categorization,Predicted Score,Predicted Toxicity Categorization,,,
1,Fat Shaming,She is such a fatty she ate a whole box of crumble cookies,0.8,Toxic,0.6544696,Toxic,,,
2,Fat Shaming,He looks fatter than a bloated whale in the water when he is swimming,0.9,Toxic,0.51869136,Toxic,,,
3,Fat Shaming,He would be so much hotter if he was not an ugly obese bitch,0.85,Toxic,0.9288007,Toxic,,,
4,Fat Shaming,She thought she looked good but her fat body looked so huge in that dress,0.8,Toxic,0.50789946,Toxic,,,
5,Fat Shaming,"His friends are so fit, but he is the only one that looks like a fat obese ogre",0.75,Toxic,0.6289369,Toxic,,,
6,Fat Shaming,She eats so much during lunch no wonder she is such a fat pig,0.8,Toxic,0.83334327,Toxic,,,
7,Skinny Shaming,Those jeans do not look good on her skinny stick legs,0.8,Toxic,0.4394682,Not Toxic,,,
8,Skinny Shaming,How did she win the pageant she looks flat and thin in that outfit,0.9,Toxic,0.25462922,Not Toxic,,,
9,Skinny Shaming,He needs to eat more why is he shaped like an ugly skinny twig,0.75,Toxic,0.6827122,Toxic,,,
10,Skinny Shaming,Are you on a diet you have lost so much weight your unattractive body looks so weak,0.7,Toxic,0.4574824,Not Toxic,,,
11,Skinny Shaming,That girl was flatter than a wall I feel bad for her skinny bony body,0.85,Toxic,0.47323486,Not Toxic,,,
12,Skinny Shaming,Look at her nasty lanky legs and arms she looks like a 5 year old,0.75,Toxic,0.6744087,Toxic,,,
,,,,,,,,,
